,fitness,n_attr
876,0.0,6.0
941,0.0,7.0
1044,0.0,7.0
264,0.0,8.0
288,0.0,8.0
411,0.0,8.0
640,0.0,8.0
46,0.0,9.0
482,0.0,9.0
840,0.0,9.0
140,0.0,10.0
476,0.0,10.0
911,0.0,10.0
26,0.0,11.0
133,0.0,11.0
241,0.0,11.0
993,0.0,11.0
996,0.0,11.0
92,0.0,12.0
129,0.0,12.0
179,0.0,12.0
296,0.0,12.0
460,0.0,12.0
472,0.0,12.0
121,0.0,13.0
465,0.0,13.0
14,0.0,14.0
160,0.0,14.0
226,0.0,14.0
227,0.0,14.0
176,0.0,15.0
213,0.0,15.0
217,0.0,15.0
16,0.0,16.0
93,0.0,16.0
190,0.0,16.0
206,0.0,16.0
208,0.0,16.0
3,0.0,18.0
105,0.0,18.0
20,0.0,19.0
25,0.0,19.0
21,0.0,21.0
203,0.1037479157262056,24.0
13,0.10669605635436347,24.0
193,0.11006326659761215,20.0
201,0.11409573994279462,20.0
108,0.11780020203410997,16.0
186,0.11835619406877965,17.0
199,0.11989262717984604,19.0
91,0.1201401377381409,18.0
202,0.12021425216657947,19.0
27,0.12030461924843544,19.0
191,0.12047610483816984,19.0
114,0.12165441097394464,18.0
8,0.12410951332616948,17.0
200,0.1246329899240207,19.0
113,0.12474988924021853,17.0
99,0.12529143844559448,19.0
276,0.12552805107615309,19.0
102,0.12594387224304587,17.0
41,0.12633222959147122,17.0
4,0.12633571813823358,18.0
119,0.12663170848210917,16.0
118,0.12693885686479311,19.0
104,0.12699824879290553,16.0
112,0.1285079513404318,18.0
188,0.12910993516405242,14.0
111,0.13037481572471532,14.0
0,0.13048685155093728,19.0
56,0.1305252632554284,16.0
180,0.1316151874118778,17.0
100,0.13166061608490134,17.0
106,0.1327580504457426,13.0
7,0.13290525002231568,17.0
110,0.1334285287896628,16.0
29,0.13396658933822733,15.0
145,0.13421674833928893,13.0
23,0.13431071643091477,14.0
185,0.13462792853736053,16.0
184,0.1351325119988334,17.0
139,0.13513528903149694,16.0
95,0.13593541864583705,15.0
45,0.13597220998262521,14.0
97,0.13614500165030038,15.0
107,0.13626852829698433,16.0
11,0.13651343553201983,15.0
18,0.13689325098678926,13.0
189,0.13697929268965905,16.0
109,0.13706068952003445,11.0
28,0.1372270503377201,13.0
135,0.13726849027545862,15.0
297,0.13745618809753357,16.0
204,0.13788879565157683,13.0
33,0.13812148482932274,15.0
231,0.1392963574726348,16.0
115,0.1393584952661838,15.0
125,0.1394249188167012,13.0
17,0.13998082487605826,17.0
169,0.14125969778947503,14.0
362,0.14145803838023938,13.0
196,0.14146995650588237,13.0
479,0.14159670838161556,14.0
50,0.1417904997414637,15.0
181,0.14190184796381633,16.0
194,0.1419918478194866,16.0
117,0.1423641355033496,16.0
235,0.14293382398960144,15.0
116,0.1430580608156874,16.0
94,0.14398719837095397,15.0
464,0.1441524168624486,14.0
12,0.1453233640086711,16.0
22,0.1455065688285187,13.0
141,0.14576131570290507,12.0
183,0.14595651816763483,12.0
6,0.1459751205373919,14.0
205,0.14605311246759953,13.0
42,0.1463865440772712,14.0
127,0.14645341244909513,14.0
451,0.1465826480965219,12.0
19,0.1471194454463337,13.0
273,0.14726418063336136,12.0
192,0.14789162544288628,14.0
36,0.14804020104497936,13.0
90,0.1481496548181789,14.0
370,0.14903725608427548,14.0
224,0.14908082226210762,13.0
459,0.14978226771334294,12.0
234,0.15001805638627477,12.0
1013,0.15047760191052523,12.0
281,0.15075586297701657,12.0
54,0.15077954925821044,14.0
187,0.15093607084988678,13.0
211,0.1510897992794284,13.0
122,0.15127550489550165,16.0
282,0.15153805459910744,13.0
65,0.15190421119627848,13.0
60,0.15196391197675438,13.0
2,0.15232552807960115,10.0
40,0.15233993319013336,12.0
149,0.15237008036024113,13.0
15,0.15264639485362153,12.0
473,0.15271859888323977,12.0
365,0.15285352126091867,13.0
383,0.15292137995134825,14.0
89,0.1529459011445443,14.0
382,0.15297072474632675,12.0
364,0.1530336261011852,12.0
96,0.1533390951876802,11.0
197,0.15344010174719483,14.0
291,0.15345160047958423,10.0
230,0.1539474088765145,12.0
915,0.15442130302481036,12.0
907,0.15450988100885488,11.0
123,0.15455786230951005,9.0
171,0.15460699143302722,11.0
237,0.1549130003354435,15.0
906,0.15530661207679652,12.0
233,0.1553097901473558,13.0
835,0.15537261534819966,11.0
287,0.15537751704970787,10.0
167,0.15602736254515565,10.0
997,0.15637018156339863,12.0
34,0.15650220789736957,11.0
195,0.1570406103232719,12.0
146,0.15710060458467406,12.0
53,0.15785521112040343,12.0
24,0.15785854879484812,11.0
151,0.1580247799958346,12.0
132,0.15818894227586505,11.0
158,0.1584439726926619,11.0
39,0.15864945164264632,9.0
279,0.1590096067149771,10.0
143,0.15930750390842224,13.0
101,0.15933329799244825,12.0
477,0.1595705248595706,11.0
130,0.15958408756398357,9.0
452,0.15969573062642564,11.0
375,0.15987916468688337,11.0
294,0.15991234852679748,12.0
361,0.16004503808816098,11.0
37,0.16007865475560107,10.0
826,0.16013536737087128,14.0
147,0.16016003980188273,12.0
467,0.16048571598273406,12.0
222,0.16068989693550395,10.0
209,0.16089167643946067,12.0
998,0.16090072675135195,12.0
43,0.16119519640771124,13.0
9,0.16132104534167102,13.0
161,0.16167858482226086,11.0
838,0.1618711089002123,12.0
198,0.16189962918285247,13.0
299,0.16190106956399114,10.0
73,0.1619260915973405,11.0
229,0.16199620359042075,11.0
373,0.16211927540771381,10.0
138,0.1626520004220966,12.0
48,0.16274942564529585,11.0
163,0.1627520900390894,10.0
144,0.16296742120448854,10.0
238,0.16317184745872645,11.0
249,0.1634017299702996,12.0
58,0.16344480587026608,12.0
387,0.1636136713907324,10.0
468,0.1639839949891581,11.0
384,0.16403933941916632,10.0
811,0.16406645710650386,11.0
212,0.1640772021758748,9.0
813,0.16421861489551098,12.0
136,0.16429671353825417,11.0
810,0.16469957748916517,11.0
1019,0.16471614117413072,11.0
470,0.16475688774882732,12.0
948,0.16511557734948232,9.0
1002,0.16518974068200268,12.0
994,0.16548012140555732,12.0
165,0.1655718698797535,11.0
285,0.16565606034923952,10.0
293,0.16591423810543357,10.0
925,0.16600129946599973,10.0
214,0.1661198187389978,11.0
215,0.16628449187068475,10.0
142,0.16635455451650685,12.0
461,0.1664850736827903,11.0
834,0.16648635204011886,11.0
207,0.1666868570465886,9.0
290,0.16687271739080722,11.0
173,0.1669959790528809,9.0
49,0.1670740878911932,10.0
990,0.16708085773295867,12.0
820,0.16736369549814786,10.0
295,0.1675495677153553,10.0
177,0.1676199732951946,11.0
62,0.16769698045348577,11.0
255,0.1678743576699488,10.0
77,0.16797299550208664,9.0
910,0.16817885759890097,9.0
220,0.16823880484219533,11.0
239,0.16825707061130996,11.0
263,0.16826268376601747,11.0
66,0.16829936185737998,11.0
950,0.16849048578854872,10.0
304,0.16873199951324985,10.0
182,0.16874836913119642,11.0
1,0.16883013519704348,11.0
47,0.168884802958097,10.0
816,0.1689542035064019,10.0
55,0.16904535274936225,11.0
269,0.1691033503064346,9.0
913,0.1692106011233665,9.0
824,0.1694099629544094,13.0
490,0.16951781390396636,9.0
86,0.17020992369183066,12.0
458,0.17022746935307312,10.0
471,0.17023620770566594,11.0
1017,0.17024552129356246,10.0
277,0.1702865408763046,11.0
924,0.17034536960315105,9.0
210,0.1704634927584465,10.0
248,0.17057321805472234,10.0
223,0.17115652382050936,9.0
68,0.17130308372076153,11.0
548,0.17157486830314647,10.0
157,0.17170954294450996,11.0
466,0.17199457149263048,10.0
148,0.1721714524093261,11.0
52,0.17220402261045586,9.0
30,0.17243033141508887,9.0
920,0.17250557301127942,9.0
916,0.17283708179833618,11.0
822,0.17333914255531674,10.0
917,0.17356434967598838,10.0
1005,0.17361197540594678,9.0
278,0.17381562340045176,9.0
286,0.1741938706379445,10.0
134,0.17426642766965078,9.0
259,0.1745217086860182,9.0
376,0.1746154391938512,9.0
828,0.1749451345265567,9.0
152,0.17496184995758082,10.0
372,0.17548715058570485,9.0
462,0.17559177567757653,8.0
992,0.17585166379699865,9.0
371,0.17587245475931076,9.0
283,0.1759930618161022,9.0
236,0.17599554544492615,9.0
1067,0.17634589021518304,9.0
827,0.17652304998706037,10.0
475,0.17655261282430448,11.0
991,0.17685854424882483,9.0
900,0.17697693507160078,10.0
126,0.17710621508662458,11.0
412,0.17712957238928775,9.0
252,0.17739144422268635,10.0
932,0.17749495754135322,10.0
866,0.17772846795896394,11.0
812,0.17790135518251138,11.0
360,0.17791944158382145,9.0
292,0.17795527884899884,8.0
240,0.1779901997584511,9.0
1083,0.17822294277182096,8.0
1003,0.17830613339466952,9.0
271,0.17850889690618976,9.0
1006,0.17881250325091294,8.0
275,0.17890667038688451,8.0
389,0.1789746332008302,8.0
35,0.17899445077671014,11.0
837,0.17932220493309733,9.0
369,0.1794902375748252,10.0
5,0.17970935650221337,9.0
38,0.17976099918829702,8.0
829,0.1798015206859269,9.0
67,0.17992089747280374,9.0
463,0.180017849788976,8.0
891,0.18012030856012828,8.0
469,0.18022146033725747,8.0
221,0.18024185934864342,9.0
928,0.18025599010226798,9.0
88,0.18032340648191156,9.0
474,0.18042730862306314,10.0
912,0.18044211489501302,9.0
643,0.1806059598302183,8.0
385,0.18116015563384347,9.0
242,0.1812173676105403,8.0
137,0.1817333605450959,9.0
272,0.18175783248913963,10.0
381,0.18179194168562857,9.0
830,0.18184794984447517,9.0
852,0.1818703531184097,9.0
225,0.18187246656244205,9.0
280,0.18187670149544466,9.0
457,0.1819936433548182,9.0
298,0.18209254663256108,8.0
818,0.1821112587028453,10.0
172,0.1821392232654744,8.0
84,0.18244100558698423,10.0
32,0.18267378188790592,9.0
927,0.18267621648021348,9.0
120,0.18279839739212794,10.0
218,0.1828971496017975,9.0
1042,0.1829580939849413,8.0
735,0.1830445331672579,8.0
64,0.18306618859180063,10.0
819,0.18334282527066834,8.0
70,0.1834493650550604,8.0
918,0.1838605503011847,8.0
153,0.18407133114435292,10.0
363,0.18418613368170683,8.0
10,0.18469298085894229,9.0
1016,0.18499845390057806,10.0
839,0.18500424720881098,10.0
380,0.18511756193194745,10.0
1829,0.1852173628174957,9.0
1010,0.18527626940405417,10.0
407,0.18530866910040972,8.0
265,0.1853527949487459,9.0
563,0.1855785016087581,8.0
1819,0.18561984154999372,8.0
174,0.1856259164731711,7.0
258,0.18587890131428647,10.0
256,0.18611027087127394,9.0
999,0.18611027087127394,9.0
81,0.1863803914081589,8.0
923,0.186794025561746,10.0
909,0.18705835905222631,8.0
478,0.18716210461353414,8.0
823,0.18731455440135508,9.0
1639,0.18731455440135508,9.0
921,0.18735412739045587,9.0
905,0.18753224041462227,9.0
970,0.18753867742376998,9.0
103,0.1876783505530858,9.0
253,0.18772110978404005,9.0
902,0.18781511198191356,9.0
564,0.1878457412520457,8.0
1716,0.18790032802872147,8.0
901,0.1883288676640965,9.0
842,0.1883341736830686,9.0
1008,0.1883479879684886,8.0
1004,0.1884107754968806,8.0
1022,0.1884698677294066,8.0
904,0.18862269997055506,7.0
1063,0.1887216807293843,7.0
955,0.18882547969216537,9.0
57,0.18896544459902137,8.0
309,0.18901188633261828,8.0
162,0.1890982946028145,8.0
262,0.18934582443284573,8.0
919,0.1893514053523594,9.0
1014,0.18962510301195784,8.0
124,0.18969164933138424,8.0
937,0.18980375459628585,9.0
1086,0.18987716543627856,7.0
870,0.19016703237642957,8.0
155,0.19058052249176388,8.0
367,0.19086622439859321,8.0
496,0.19150899565092186,7.0
825,0.19156536798274607,8.0
454,0.1917516497998282,9.0
59,0.1917580868089759,9.0
858,0.1917709939581706,8.0
1179,0.1919048727360491,8.0
394,0.19201656765477568,7.0
1000,0.19201656765477568,7.0
386,0.192152116641558,8.0
87,0.1922417228790278,9.0
873,0.19252899921341,8.0
860,0.19253001401337586,7.0
219,0.19261188156910747,9.0
1646,0.19282712349649475,7.0
1826,0.19296587263598833,6.0
396,0.1931354369128119,9.0
495,0.19313908853571626,6.0
843,0.19335831336178802,8.0
547,0.1933892016350081,7.0
164,0.19340794986926768,8.0
1051,0.19349653903239553,6.0
1072,0.19357547500932495,8.0
1810,0.1937567500867312,8.0
1803,0.19379484636398184,6.0
61,0.19389522710804855,8.0
814,0.19389522710804855,8.0
1001,0.1939497809733477,7.0
1723,0.19398935202734,7.0
1036,0.194031807270338,6.0
1551,0.19405871912272601,5.0
366,0.19407106789839285,8.0
1621,0.1941008530834731,8.0
429,0.1944046811319722,7.0
846,0.19441900122431924,7.0
1714,0.19441900122431924,7.0
940,0.19442107209212162,8.0
393,0.19487172782170575,8.0
243,0.19509884187392726,7.0
301,0.1951877522243569,6.0
657,0.19526179902419355,8.0
1661,0.1953686924621547,5.0
150,0.19537864732283663,7.0
232,0.19537864732283663,7.0
1275,0.1954353747599562,7.0
404,0.19549156344167873,6.0
423,0.1954965891088934,7.0
957,0.19556868810012928,6.0
98,0.1956250177094961,8.0
85,0.1956814625644676,8.0
557,0.19569884545448105,6.0
368,0.19575699872374072,7.0
257,0.19582310557384122,7.0
1009,0.19582310557384122,7.0
83,0.19600121466319118,8.0
1715,0.1960342360169951,5.0
817,0.19619112613974374,6.0
1285,0.19625346508351468,6.0
289,0.196255553258673,7.0
216,0.1963231484329477,7.0
270,0.19643179397975485,7.0
414,0.19649135906792198,5.0
170,0.19671523283908784,7.0
914,0.19688197472488636,6.0
1012,0.19688197472488636,6.0
246,0.19701013224521935,7.0
79,0.19716902142366544,7.0
1902,0.1971914190706711,5.0
266,0.19719388936951734,7.0
501,0.19721778429491135,6.0
1733,0.19734350431264902,8.0
78,0.19737298571918832,8.0
1021,0.19737298571918832,8.0
154,0.19768936112845079,7.0
833,0.19772341964791754,7.0
74,0.1980192654092283,6.0
450,0.19806734838334278,8.0
942,0.1981531964078514,5.0
1046,0.19817232237880525,6.0
455,0.19828979321319154,7.0
1185,0.19828979321319154,7.0
379,0.19833029915243225,7.0
943,0.19849374727515215,6.0
1015,0.19868491749818612,7.0
510,0.19895765539436192,6.0
995,0.19955946013431,6.0
245,0.19958883741208672,7.0
637,0.1995983856631785,7.0
80,0.1996102086603571,8.0
267,0.1996102086603571,8.0
284,0.1996102086603571,8.0
815,0.1996102086603571,8.0
374,0.1999857167027669,7.0
483,0.20000143007794943,5.0
228,0.20025873048732795,8.0
638,0.20025873048732795,8.0
903,0.20025873048732795,8.0
908,0.20026597212261912,8.0
493,0.20084661943167018,7.0
405,0.20084846470911813,7.0
1710,0.20090752562568662,6.0
159,0.2014026357966524,8.0
268,0.2014026357966524,8.0
317,0.2014026357966524,8.0
953,0.20143160709128569,6.0
1180,0.2016191086676014,5.0
1630,0.2016191086676014,5.0
128,0.2016848438518462,7.0
1719,0.2016848438518462,7.0
489,0.2019799278579727,6.0
315,0.2021386324364238,7.0
1082,0.2021386324364238,7.0
251,0.20250319506378792,8.0
945,0.20250319506378792,8.0
513,0.20256145879687493,6.0
722,0.20256145879687493,6.0
178,0.20291605025657014,8.0
1274,0.20291605025657014,8.0
419,0.20323942144202722,7.0
506,0.20347309561695961,6.0
413,0.20352686185730967,5.0
1047,0.20352686185730967,5.0
1032,0.20360382847302735,5.0
1085,0.20360382847302735,5.0
247,0.2036693401443605,8.0
485,0.2036693401443605,8.0
1635,0.2036693401443605,8.0
69,0.20371125594806405,7.0
76,0.20405296155641214,7.0
156,0.20405296155641214,7.0
1281,0.20456799667593686,7.0
831,0.2046247241130565,7.0
505,0.204697792657129,5.0
328,0.2052867694721708,6.0
390,0.20548562684195976,7.0
1199,0.20577106105257426,6.0
543,0.2058372430625471,6.0
1825,0.2058372430625471,6.0
244,0.20623589960561986,6.0
308,0.20633067328652846,7.0
731,0.20633067328652846,7.0
1041,0.20633067328652846,7.0
541,0.2065656744012994,7.0
166,0.206715657699615,7.0
1043,0.206715657699615,7.0
1814,0.207401180966633,6.0
1190,0.2078275170982644,6.0
63,0.20786471860019456,7.0
250,0.20786471860019456,7.0
378,0.20786471860019456,7.0
926,0.20786471860019456,7.0
560,0.20801315744352133,5.0
726,0.20846689382579078,6.0
1620,0.20846689382579078,6.0
1645,0.20846689382579078,6.0
1730,0.20846689382579078,6.0
542,0.20873420661085595,5.0
651,0.20873420661085595,5.0
934,0.20873420661085595,5.0
31,0.20912250061977802,7.0
261,0.20912250061977802,7.0
1028,0.20912250061977802,7.0
1625,0.20912250061977802,7.0
1735,0.20912250061977802,7.0
544,0.20915774241093343,6.0
895,0.209167397924655,6.0
946,0.209167397924655,6.0
1178,0.209167397924655,6.0
319,0.20934237843935655,6.0
1105,0.20934237843935655,6.0
488,0.20959433512581485,7.0
847,0.20959433512581485,7.0
1629,0.20959433512581485,7.0
1731,0.20959433512581485,7.0
730,0.20961723663087486,6.0
168,0.21045523785471812,7.0
403,0.21045523785471812,7.0
453,0.21045523785471812,7.0
497,0.21045523785471812,7.0
844,0.21045523785471812,7.0
855,0.21045523785471812,7.0
868,0.21045523785471812,7.0
922,0.21045523785471812,7.0
930,0.21045523785471812,7.0
1279,0.21045523785471812,7.0
1623,0.21045523785471812,7.0
650,0.21068294949003272,6.0
1037,0.21068294949003272,6.0
1076,0.21108464898705556,6.0
1103,0.21108464898705556,6.0
1727,0.21108464898705556,6.0
323,0.21120195386568413,5.0
965,0.21120195386568413,5.0
1080,0.21120195386568413,5.0
1644,0.21120195386568413,5.0
561,0.21151936880989758,5.0
1055,0.21151936880989758,5.0
1066,0.21151936880989758,5.0
1284,0.21151936880989758,5.0
1736,0.21151936880989758,5.0
327,0.21153095542636344,5.0
1091,0.21153095542636344,5.0
1183,0.21153095542636344,5.0
400,0.21163512257743186,6.0
408,0.21163512257743186,6.0
848,0.21163512257743186,6.0
568,0.2117409320440053,5.0
1020,0.2117409320440053,5.0
821,0.2121503618462134,6.0
845,0.2121503618462134,6.0
956,0.2121503618462134,6.0
962,0.2121503618462134,6.0
1056,0.2121503618462134,6.0
1109,0.2121503618462134,6.0
889,0.21263950909448567,6.0
1031,0.21263950909448567,6.0
1070,0.21263950909448567,6.0
1717,0.21263950909448567,6.0
1812,0.21263950909448567,6.0
388,0.21270083543658969,6.0
893,0.21270083543658969,6.0
332,0.21272882355045836,4.0
480,0.21272882355045836,4.0
659,0.21327970787992218,5.0
1271,0.21327970787992218,5.0
1800,0.21327970787992218,5.0
1642,0.2133496173048167,5.0
499,0.21341629398137052,6.0
741,0.21341629398137052,6.0
75,0.2137052219536435,6.0
260,0.2137052219536435,6.0
329,0.2137052219536435,6.0
734,0.2137052219536435,6.0
850,0.2137052219536435,6.0
867,0.2137052219536435,6.0
883,0.2137052219536435,6.0
1823,0.2137052219536435,6.0
274,0.2137615080300676,7.0
325,0.2137615080300676,7.0
481,0.2137615080300676,7.0
939,0.2137615080300676,7.0
949,0.2137615080300676,7.0
1176,0.2137615080300676,7.0
1033,0.21492994208472938,4.0
1805,0.21492994208472938,4.0
545,0.2151105121322335,5.0
732,0.2151105121322335,5.0
736,0.2151105121322335,5.0
1264,0.2151105121322335,5.0
1739,0.2151105121322335,5.0
1088,0.21575565247029382,4.0
1171,0.21575565247029382,4.0
1173,0.21575565247029382,4.0
341,0.21577108044068508,5.0
416,0.21577108044068508,5.0
854,0.21577108044068508,5.0
981,0.21577108044068508,5.0
1007,0.21577108044068508,5.0
1728,0.21577108044068508,5.0
409,0.21649682429906006,6.0
418,0.21649682429906006,6.0
504,0.21649682429906006,6.0
872,0.21649682429906006,6.0
929,0.21649682429906006,6.0
1024,0.21649682429906006,6.0
397,0.21662963069442207,5.0
456,0.21662963069442207,5.0
1809,0.21662963069442207,5.0
377,0.21697634426114965,5.0
395,0.21697634426114965,5.0
445,0.21697634426114965,5.0
559,0.21697634426114965,5.0
863,0.21697634426114965,5.0
1801,0.21697634426114965,5.0
306,0.21726223224587454,4.0
558,0.21726223224587454,4.0
630,0.21726223224587454,4.0
966,0.21726223224587454,4.0
1172,0.21726223224587454,4.0
1711,0.21726223224587454,4.0
302,0.2175625371582179,6.0
725,0.2175625371582179,6.0
856,0.2175625371582179,6.0
1025,0.2175625371582179,6.0
1038,0.2175625371582179,6.0
1079,0.2175625371582179,6.0
1647,0.2175625371582179,6.0
1648,0.2175625371582179,6.0
72,0.21790848612541147,5.0
1097,0.21790848612541147,5.0
509,0.22107732975421884,4.0
1040,0.22107732975421884,4.0
300,0.22160512250663894,5.0
567,0.22160512250663894,5.0
639,0.22160512250663894,5.0
849,0.22160512250663894,5.0
931,0.22160512250663894,5.0
1039,0.22160512250663894,5.0
1627,0.22160512250663894,5.0
1643,0.22160512250663894,5.0
1815,0.22160512250663894,5.0
532,0.22282550889820843,3.0
1099,0.22282550889820843,3.0
492,0.22304820505273615,4.0
723,0.22304820505273615,4.0
884,0.22304820505273615,4.0
897,0.22304820505273615,4.0
1064,0.22304820505273615,4.0
1189,0.22304820505273615,4.0
1197,0.22304820505273615,4.0
1679,0.22304820505273615,4.0
310,0.2232892413044593,5.0
438,0.2232892413044593,5.0
631,0.2232892413044593,5.0
739,0.2232892413044593,5.0
944,0.2232892413044593,5.0
1286,0.2232892413044593,5.0
44,0.22336041667310266,6.0
51,0.22336041667310266,6.0
254,0.22336041667310266,6.0
313,0.22336041667310266,6.0
392,0.22336041667310266,6.0
503,0.22336041667310266,6.0
841,0.22336041667310266,6.0
853,0.22336041667310266,6.0
859,0.22336041667310266,6.0
861,0.22336041667310266,6.0
869,0.22336041667310266,6.0
1094,0.22336041667310266,6.0
1104,0.22336041667310266,6.0
1657,0.22336041667310266,6.0
1807,0.22336041667310266,6.0
314,0.22486594154327313,5.0
566,0.22486594154327313,5.0
569,0.22486594154327313,5.0
649,0.22486594154327313,5.0
727,0.22486594154327313,5.0
935,0.22486594154327313,5.0
1289,0.22486594154327313,5.0
1669,0.22486594154327313,5.0
1734,0.22486594154327313,5.0
320,0.2251533535500116,4.0
391,0.2251533535500116,4.0
562,0.2251533535500116,4.0
636,0.2251533535500116,4.0
1018,0.2251533535500116,4.0
82,0.22856257792450063,5.0
487,0.22856257792450063,5.0
653,0.22856257792450063,5.0
875,0.22856257792450063,5.0
890,0.22856257792450063,5.0
892,0.22856257792450063,5.0
952,0.22856257792450063,5.0
1011,0.22856257792450063,5.0
1050,0.22856257792450063,5.0
1098,0.22856257792450063,5.0
1738,0.22856257792450063,5.0
1824,0.22856257792450063,5.0
519,0.22977414902654594,4.0
724,0.22977414902654594,4.0
954,0.22977414902654594,4.0
1026,0.22977414902654594,4.0
1186,0.22977414902654594,4.0
1273,0.22977414902654594,4.0
1634,0.22977414902654594,4.0
1640,0.22977414902654594,4.0
1649,0.22977414902654594,4.0
131,0.22984143335549004,5.0
175,0.22984143335549004,5.0
311,0.22984143335549004,5.0
312,0.22984143335549004,5.0
410,0.22984143335549004,5.0
415,0.22984143335549004,5.0
484,0.22984143335549004,5.0
498,0.22984143335549004,5.0
507,0.22984143335549004,5.0
524,0.22984143335549004,5.0
534,0.22984143335549004,5.0
633,0.22984143335549004,5.0
654,0.22984143335549004,5.0
746,0.22984143335549004,5.0
749,0.22984143335549004,5.0
836,0.22984143335549004,5.0
865,0.22984143335549004,5.0
894,0.22984143335549004,5.0
899,0.22984143335549004,5.0
947,0.22984143335549004,5.0
989,0.22984143335549004,5.0
1035,0.22984143335549004,5.0
1054,0.22984143335549004,5.0
1058,0.22984143335549004,5.0
1065,0.22984143335549004,5.0
1077,0.22984143335549004,5.0
1270,0.22984143335549004,5.0
1622,0.22984143335549004,5.0
1631,0.22984143335549004,5.0
1641,0.22984143335549004,5.0
1732,0.22984143335549004,5.0
316,0.23137271831528267,4.0
357,0.23137271831528267,4.0
646,0.23137271831528267,4.0
857,0.23137271831528267,4.0
898,0.23137271831528267,4.0
976,0.23137271831528267,4.0
978,0.23137271831528267,4.0
979,0.23137271831528267,4.0
1030,0.23137271831528267,4.0
1062,0.23137271831528267,4.0
1093,0.23137271831528267,4.0
1101,0.23137271831528267,4.0
1209,0.23137271831528267,4.0
1282,0.23137271831528267,4.0
324,0.23174502432506328,4.0
652,0.23174502432506328,4.0
721,0.23174502432506328,4.0
959,0.23174502432506328,4.0
963,0.23174502432506328,4.0
1272,0.23174502432506328,4.0
1626,0.23174502432506328,4.0
