,swarm_size,max_iterations,fitness,k1,k3,k5,k7,k9
0,25.0,50.0,0.8730081348853301,0.5690515806988353,0.5588602329450915,0.5725873544093179,0.5715474209650583,0.5711314475873545
1,25.0,50.0,0.8730081348853301,0.5748752079866889,0.5478369384359401,0.5607321131447587,0.5646838602329451,0.5711314475873545
2,25.0,50.0,0.8730081348853301,0.7292013311148087,0.7169301164725458,0.7086106489184693,0.7038269550748752,0.6998752079866889
3,25.0,50.0,0.8730081348853301,0.5727953410981698,0.5524126455906821,0.5590682196339434,0.5705074875207987,0.5702995008319468
4,25.0,50.0,0.8730081348853301,0.5328618968386023,0.5301580698835274,0.538269550748752,0.5463810316139767,0.5482529118136439
5,25.0,50.0,0.8730081348853301,0.6532861896838602,0.6412229617304492,0.6416389351081531,0.6493344425956739,0.651414309484193
6,25.0,50.0,0.8730081348853301,0.7287853577371048,0.7167221297836939,0.7204658901830283,0.7065307820299501,0.7029950083194676
7,25.0,50.0,0.8730081348853301,0.7142262895174709,0.7090266222961731,0.7171381031613977,0.7173460898502496,0.7129783693843594
8,25.0,50.0,0.8730081348853301,0.7722545757071547,0.7551996672212978,0.7564475873544093,0.7589434276206323,0.752287853577371
9,25.0,50.0,0.8730081348853301,0.6599417637271214,0.6480865224625624,0.6478785357737105,0.6428868552412645,0.6430948419301165
10,25.0,50.0,0.8730081348853301,0.5694675540765392,0.5634359400998337,0.5775790349417638,0.5779950083194676,0.584234608985025
11,25.0,50.0,0.8730081348853301,0.6603577371048253,0.6443427620632279,0.6445507487520798,0.6383111480865225,0.6422628951747088
12,25.0,50.0,0.8730081348853301,0.7133943427620633,0.706946755407654,0.7021630615640599,0.7013311148086523,0.6940515806988353
13,25.0,50.0,0.8730081348853301,0.4261647254575707,0.4652662229617304,0.49584026622296173,0.5037437603993344,0.5243344425956739
14,25.0,50.0,0.8730081348853301,0.6401830282861897,0.6314475873544093,0.6428868552412645,0.6499584026622296,0.6424708818635607
15,25.0,50.0,0.8730081348853301,0.5203826955074875,0.5270382695507487,0.5405574043261231,0.5413893510815307,0.5424292845257903
16,25.0,50.0,0.8730081348853301,0.6256239600665557,0.6245840266222962,0.629783693843594,0.6351913477537438,0.6378951747088186
17,25.0,50.0,0.8730081348853301,0.6121048252911814,0.5892262895174709,0.6048252911813644,0.6094009983361065,0.6096089850249584
18,25.0,50.0,0.8730081348853301,0.7934692179700499,0.7799500831946755,0.7762063227953411,0.7626871880199667,0.7574875207986689
19,25.0,50.0,0.8730081348853301,0.6969633943427621,0.6859400998336106,0.6865640599001663,0.6824043261231281,0.6717970049916805
20,25.0,50.0,0.8730081348853301,0.6555740432612313,0.6353993344425957,0.6399750415973378,0.6449667221297837,0.646630615640599
21,25.0,50.0,0.8730081348853301,0.7000831946755408,0.6811564059900166,0.6763727121464226,0.6707570715474209,0.6663893510815307
22,25.0,50.0,0.8730081348853301,0.764351081530782,0.745216306156406,0.7485440931780366,0.7439683860232945,0.7464642262895175
23,25.0,50.0,0.8730081348853301,0.4197171381031614,0.42200499168053246,0.4428036605657238,0.4473793677204659,0.4488352745424293
24,25.0,50.0,0.8730081348853301,0.4588186356073211,0.47420965058236275,0.490432612312812,0.507071547420965,0.5097753743760399
25,25.0,50.0,0.8730081348853301,0.6181364392678869,0.6091930116472546,0.617928452579035,0.6216722129783694,0.6222961730449251
26,25.0,50.0,0.8730081348853301,0.6780366056572379,0.6676372712146422,0.6576539101497504,0.6641014975041597,0.6645174708818635
27,25.0,50.0,0.8730081348853301,0.5809068219633944,0.5665557404326124,0.5767470881863561,0.5740432612312812,0.5829866888519135
28,25.0,50.0,0.8730081348853301,0.5245424292845258,0.4983361064891847,0.5058236272878536,0.5101913477537438,0.509567387687188
29,25.0,50.0,0.8730081348853301,0.5426372712146422,0.5232945091514143,0.5418053244592346,0.5440931780366056,0.5474209650582362
30,25.0,50.0,0.8730081348853301,0.7635191347753744,0.7321131447587355,0.7231697171381032,0.7196339434276207,0.7094425956738769
31,25.0,50.0,0.8730081348853301,0.668261231281198,0.6430948419301165,0.6543261231281198,0.6447587354409318,0.641846921797005
32,25.0,50.0,0.8730081348853301,0.8548252911813644,0.8244592346089851,0.8069883527454242,0.7970049916805324,0.7816139767054908
33,25.0,50.0,0.8730081348853301,0.6243760399334443,0.622712146422629,0.6206322795341098,0.6254159733777038,0.6299916805324459
34,25.0,50.0,0.8730081348853301,0.30969217970049917,0.31385191347753744,0.3273710482529118,0.33257071547420963,0.3354825291181364
35,25.0,50.0,0.8730081348853301,0.4690099833610649,0.49459234608985025,0.5158069883527454,0.5237104825291181,0.5253743760399334
36,25.0,50.0,0.8730081348853301,0.6495424292845258,0.6318635607321131,0.6391430948419301,0.6408069883527454,0.6374792013311148
37,25.0,50.0,0.8730081348853301,0.8271630615640599,0.8094841930116472,0.8017886855241264,0.7928452579034941,0.7826539101497504
38,25.0,50.0,0.8730081348853301,0.7229617304492513,0.7142262895174709,0.7081946755407654,0.7077787021630616,0.7065307820299501
39,25.0,50.0,0.8730081348853301,0.6185524126455907,0.5971297836938436,0.5954658901830283,0.6050332778702163,0.6019134775374376
40,25.0,50.0,0.8730081348853301,0.5844425956738769,0.5609400998336106,0.5838186356073212,0.5921381031613977,0.5933860232945092
41,25.0,50.0,0.8730081348853301,0.7481281198003328,0.7466722129783694,0.7483361064891847,0.7493760399334443,0.745216306156406
42,25.0,50.0,0.8730081348853301,0.6218801996672213,0.6110648918469218,0.615432612312812,0.6114808652246256,0.6116888519134775
43,25.0,50.0,0.8730081348853301,0.7221297836938436,0.7013311148086523,0.6884359400998337,0.6934276206322796,0.6905158069883528
44,25.0,50.0,0.8730081348853301,0.6324875207986689,0.6212562396006656,0.6229201331114809,0.6247920133111481,0.6247920133111481
45,25.0,50.0,0.8730081348853301,0.5376455906821963,0.5131031613976705,0.5232945091514143,0.5291181364392679,0.5309900166389351
46,25.0,50.0,0.8730081348853301,0.7013311148086523,0.6815723793677204,0.6855241264559068,0.6884359400998337,0.6811564059900166
47,25.0,50.0,0.8730081348853301,0.5293261231281198,0.5349417637271214,0.552828618968386,0.5601081530782029,0.5678036605657238
48,25.0,50.0,0.8730081348853301,0.7181780366056573,0.7071547420965059,0.7009151414309485,0.7011231281198004,0.6963394342762064
49,25.0,50.0,0.8730081348853301,0.785981697171381,0.7770382695507487,0.7647670549084858,0.7641430948419301,0.7616472545757071
50,25.0,50.0,0.8730081348853301,0.6503743760399334,0.6326955074875208,0.6360232945091514,0.6343594009983361,0.6349833610648918
51,25.0,50.0,0.8730081348853301,0.7768302828618968,0.7562396006655574,0.7493760399334443,0.7456322795341098,0.7346089850249584
52,25.0,50.0,0.8730081348853301,0.6990432612312812,0.6693011647254575,0.6722129783693843,0.6628535773710482,0.6622296173044925
53,25.0,50.0,0.8730081348853301,0.7054908485856906,0.6907237936772047,0.6884359400998337,0.6867720465890182,0.6811564059900166
54,25.0,50.0,0.8730081348853301,0.5675956738768719,0.5495008319467554,0.5590682196339434,0.5605241264559068,0.56738768718802
55,25.0,50.0,0.8730081348853301,0.6950915141430949,0.6836522462562395,0.6840682196339434,0.6832362728785357,0.6792845257903494
56,25.0,50.0,0.8730081348853301,0.6963394342762064,0.6784525790349417,0.6732529118136439,0.6715890183028286,0.6674292845257903
57,25.0,50.0,0.8730081348853301,0.5992096505823628,0.5796589018302829,0.5894342762063228,0.584234608985025,0.5854825291181365
58,25.0,50.0,0.8730081348853301,0.663269550748752,0.6497504159733777,0.6518302828618968,0.6491264559068219,0.6499584026622296
59,25.0,50.0,0.8730081348853301,0.5079034941763727,0.4873128119800333,0.5033277870216306,0.5054076539101497,0.5076955074875208
60,25.0,50.0,0.8730081348853301,0.6222961730449251,0.6121048252911814,0.6100249584026622,0.6216722129783694,0.6198003327787022
61,25.0,50.0,0.8730081348853301,0.6462146422628952,0.6256239600665557,0.6314475873544093,0.6299916805324459,0.625
62,25.0,50.0,0.8730081348853301,0.4536189683860233,0.4556988352745424,0.4667221297836938,0.4812811980033278,0.4779534109816972
63,25.0,50.0,0.8730081348853301,0.45632279534109815,0.46859400998336104,0.4933444259567388,0.49937603993344426,0.5110232945091514
64,25.0,50.0,0.8730081348853301,0.6104409317803661,0.589018302828619,0.596089850249584,0.6031613976705491,0.6085690515806988
65,25.0,50.0,0.8730081348853301,0.5956738768718802,0.5694675540765392,0.5767470881863561,0.5761231281198004,0.5759151414309485
66,25.0,50.0,0.8730081348853301,0.6782445923460898,0.6645174708818635,0.6665973377703827,0.6659733777038269,0.6613976705490848
67,25.0,50.0,0.8730081348853301,0.7888935108153078,0.7707986688851913,0.7655990016638935,0.7545757071547421,0.7435524126455907
68,25.0,50.0,0.8730081348853301,0.714018302828619,0.6884359400998337,0.6828202995008319,0.680116472545757,0.6738768718801996
69,25.0,50.0,0.8730081348853301,0.7512479201331115,0.7227537437603994,0.7138103161397671,0.7042429284525791,0.6969633943427621
70,25.0,50.0,0.8730081348853301,0.6836522462562395,0.6663893510815307,0.6757487520798668,0.6661813643926788,0.6624376039933444
71,25.0,50.0,0.8730081348853301,0.71630615640599,0.7050748752079867,0.7052828618968386,0.6938435940099834,0.6878119800332779
72,25.0,50.0,0.8730081348853301,0.7959650582362728,0.7814059900166389,0.7726705490848585,0.764351081530782,0.7585274542429284
73,25.0,50.0,0.8730081348853301,0.42949251247920134,0.45341098169717137,0.4906405990016639,0.4981281198003328,0.5097753743760399
74,25.0,50.0,0.8730081348853301,0.7462562396006656,0.7262895174708819,0.71630615640599,0.711730449251248,0.6990432612312812
75,25.0,50.0,0.8730081348853301,0.665765391014975,0.6809484193011647,0.6840682196339434,0.6865640599001663,0.6934276206322796
76,25.0,50.0,0.8730081348853301,0.6002495840266223,0.6014975041597338,0.6123128119800333,0.615432612312812,0.620216306156406
77,25.0,50.0,0.8730081348853301,0.660981697171381,0.651414309484193,0.6493344425956739,0.6470465890183028,0.6443427620632279
78,25.0,50.0,0.8730081348853301,0.658485856905158,0.6591098169717138,0.6574459234608985,0.6626455906821963,0.6707570715474209
79,25.0,50.0,0.8730081348853301,0.6722129783693843,0.6701331114808652,0.6836522462562395,0.6857321131447587,0.6840682196339434
80,25.0,50.0,0.8730081348853301,0.6526622296173045,0.6395590682196339,0.6389351081530782,0.641846921797005,0.6374792013311148
81,25.0,50.0,0.8730081348853301,0.8211314475873545,0.7924292845257903,0.7828618968386023,0.7703826955074875,0.7666389351081531
82,25.0,50.0,0.8730081348853301,0.6618136439267887,0.6576539101497504,0.6534941763727121,0.6541181364392679,0.6470465890183028
83,25.0,50.0,0.8730081348853301,0.5557404326123128,0.5459650582362728,0.55761231281198,0.5582362728785357,0.5640599001663894
84,25.0,50.0,0.8730081348853301,0.6347753743760399,0.6237520798668885,0.6277038269550749,0.6376871880199667,0.6306156405990017
85,25.0,50.0,0.8730081348853301,0.7381447587354409,0.7371048252911814,0.7314891846921797,0.735648918469218,0.7306572379367721
86,25.0,50.0,0.8730081348853301,0.7273294509151415,0.7081946755407654,0.6975873544093179,0.7015391014975042,0.6909317803660566
87,25.0,50.0,0.8730081348853301,0.5451331114808652,0.5397254575707154,0.5492928452579035,0.5580282861896838,0.5594841930116472
88,25.0,50.0,0.8730081348853301,0.5717554076539102,0.5648918469217971,0.5732113144758736,0.5879783693843594,0.5973377703826955
89,25.0,50.0,0.8730081348853301,0.6439267886855241,0.6335274542429284,0.6324875207986689,0.6289517470881864,0.6306156405990017
90,25.0,50.0,0.8730081348853301,0.6031613976705491,0.6000415973377704,0.6077371048252912,0.6146006655574043,0.6112728785357737
91,25.0,50.0,0.8730081348853301,0.8142678868552413,0.7947171381031614,0.7863976705490848,0.776414309484193,0.7770382695507487
92,25.0,50.0,0.8730081348853301,0.5873544093178037,0.5840266222961731,0.5935940099833611,0.6025374376039934,0.6094009983361065
93,25.0,50.0,0.8730081348853301,0.7755823627287853,0.7466722129783694,0.7412645590682196,0.7381447587354409,0.72608153078203
94,25.0,50.0,0.8730081348853301,0.7312811980033278,0.69238768718802,0.6903078202995009,0.6782445923460898,0.6759567387687188
95,25.0,50.0,0.8730081348853301,0.6545341098169717,0.6439267886855241,0.641846921797005,0.644134775374376,0.6376871880199667
96,25.0,50.0,0.8730081348853301,0.5713394342762064,0.5713394342762064,0.5773710482529119,0.5900582362728786,0.5921381031613977
97,25.0,50.0,0.8730081348853301,0.788477537437604,0.7626871880199667,0.7468801996672213,0.7385607321131448,0.7227537437603994
98,25.0,50.0,0.8730081348853301,0.3589850249584027,0.370216306156406,0.38851913477537436,0.3874792013311148,0.4047420965058236
99,25.0,50.0,0.8730081348853301,0.6524542429284526,0.6385191347753744,0.6474625623960066,0.6455906821963394,0.64891846921797
100,25.0,50.0,0.8730081348853301,0.716514143094842,0.71630615640599,0.7271214642262895,0.7258735440931781,0.7183860232945092
101,25.0,50.0,0.8730081348853301,0.5472129783693843,0.5187188019966722,0.5401414309484193,0.5403494176372712,0.5443011647254575
102,25.0,50.0,0.8730081348853301,0.6857321131447587,0.6861480865224625,0.6928036605657238,0.6988352745424293,0.6990432612312812
103,25.0,50.0,0.8730081348853301,0.6318635607321131,0.6185524126455907,0.6341514143094842,0.6314475873544093,0.6260399334442596
104,25.0,50.0,0.8730081348853301,0.7302412645590682,0.7231697171381032,0.7262895174708819,0.716514143094842,0.7152662229617305
105,25.0,50.0,0.8730081348853301,0.7306572379367721,0.7125623960066556,0.7146422628951747,0.7096505823627288,0.6955074875207987
106,25.0,50.0,0.8730081348853301,0.5563643926788685,0.555116472545757,0.5653078202995009,0.576955074875208,0.5754991680532446
107,25.0,50.0,0.8730081348853301,0.7481281198003328,0.7337770382695508,0.7219217970049917,0.7246256239600666,0.7148502495840267
108,25.0,50.0,0.8730081348853301,0.7660149750415973,0.7402246256239601,0.742720465890183,0.7344009983361065,0.7298252911813644
109,25.0,50.0,0.8730081348853301,0.6518302828618968,0.6578618968386023,0.6672212978369384,0.6728369384359401,0.6736688851913477
110,25.0,50.0,0.8730081348853301,0.6553660565723793,0.6443427620632279,0.6468386023294509,0.6482945091514143,0.6451747088186356
111,25.0,50.0,0.8730081348853301,0.480865224625624,0.49459234608985025,0.5147670549084858,0.5339018302828619,0.5401414309484193
112,25.0,50.0,0.8730081348853301,0.7599833610648918,0.7387687188019967,0.7389767054908486,0.7298252911813644,0.7200499168053245
113,25.0,50.0,0.8730081348853301,0.5532445923460898,0.5482529118136439,0.5590682196339434,0.5669717138103162,0.5680116472545758
114,25.0,50.0,0.8730081348853301,0.7262895174708819,0.7048668885191348,0.7023710482529119,0.6955074875207987,0.6934276206322796
115,25.0,50.0,0.8730081348853301,0.6064891846921797,0.6006655574043261,0.6050332778702163,0.6116888519134775,0.615432612312812
116,25.0,50.0,0.8730081348853301,0.5557404326123128,0.5636439267886856,0.572171381031614,0.5740432612312812,0.5836106489184693
117,25.0,50.0,0.8730081348853301,0.45653078202995007,0.478369384359401,0.4750415973377704,0.4746256239600666,0.49937603993344426
118,25.0,50.0,0.8730081348853301,0.5482529118136439,0.5266222961730449,0.5403494176372712,0.5519966722129783,0.5461730449251248
119,25.0,50.0,0.8730081348853301,0.5426372712146422,0.5567803660565723,0.5684276206322796,0.5754991680532446,0.5792429284525791
120,25.0,50.0,0.8730081348853301,0.6580698835274542,0.6443427620632279,0.6509983361064892,0.6493344425956739,0.651414309484193
121,25.0,50.0,0.8730081348853301,0.6711730449251248,0.673044925124792,0.6809484193011647,0.6921797004991681,0.6936356073211315
122,25.0,50.0,0.8730081348853301,0.7306572379367721,0.7046589018302829,0.7042429284525791,0.7027870216306157,0.694883527454243
123,25.0,50.0,0.8730081348853301,0.6437188019966722,0.6285357737104825,0.6304076539101497,0.6437188019966722,0.6403910149750416
124,25.0,50.0,0.8730081348853301,0.6647254575707154,0.6520382695507487,0.651414309484193,0.6532861896838602,0.6497504159733777
125,25.0,50.0,0.8730081348853301,0.6917637271214643,0.6811564059900166,0.680116472545757,0.6821963394342762,0.6867720465890182
126,25.0,50.0,0.8730081348853301,0.4417637271214642,0.4463394342762063,0.4633943427620632,0.47108985024958405,0.4681780366056572
127,25.0,50.0,0.8730081348853301,0.6235440931780366,0.5990016638935108,0.6031613976705491,0.6085690515806988,0.6023294509151415
128,25.0,50.0,0.8730081348853301,0.4178452579034942,0.425540765391015,0.45777870216306155,0.46235440931780364,0.46630615640599
129,25.0,50.0,0.8730081348853301,0.752495840266223,0.7406405990016639,0.7437603993344426,0.742928452579035,0.7335690515806988
130,25.0,50.0,0.8730081348853301,0.5981697171381032,0.5813227953410982,0.5935940099833611,0.5992096505823628,0.6060732113144759
131,25.0,50.0,0.8730081348853301,0.5877703826955075,0.5707154742096506,0.5806988352745425,0.5806988352745425,0.5854825291181365
132,25.0,50.0,0.8730081348853301,0.612936772046589,0.5954658901830283,0.6083610648918469,0.6121048252911814,0.6118968386023295
133,25.0,50.0,0.8730081348853301,0.5135191347753744,0.5004159733777038,0.5137271214642263,0.519134775374376,0.5185108153078203
134,25.0,50.0,0.8730081348853301,0.7007071547420965,0.6938435940099834,0.690099833610649,0.6836522462562395,0.6817803660565723
